run,time,filter_size,type,exec_type,threads
0,3.890304,256,DFUF,parallel,8
0,4.190158,256,FFUF,parallel,8
0,3.796796,256,DFUD,parallel,8
0,4.293747,256,FFUD,parallel,8
1,4.204878,256,DFUF,parallel,8
1,3.944512,256,FFUF,parallel,8
1,4.034472,256,DFUD,parallel,8
1,4.124369,256,FFUD,parallel,8
2,4.151642,256,DFUF,parallel,8
2,4.526650,256,FFUF,parallel,8
2,4.706508,256,DFUD,parallel,8
2,4.358277,256,FFUD,parallel,8
3,4.279224,256,DFUF,parallel,8
3,4.064102,256,FFUF,parallel,8
3,4.327055,256,DFUD,parallel,8
3,4.165929,256,FFUD,parallel,8
4,4.214028,256,DFUF,parallel,8
4,4.270342,256,FFUF,parallel,8
4,4.067752,256,DFUD,parallel,8
4,4.368860,256,FFUD,parallel,8
5,4.044635,256,DFUF,parallel,8
5,4.344618,256,FFUF,parallel,8
5,4.354910,256,DFUD,parallel,8
5,4.535255,256,FFUD,parallel,8
6,4.449751,256,DFUF,parallel,8
6,4.189552,256,FFUF,parallel,8
6,4.508052,256,DFUD,parallel,8
6,5.195724,256,FFUD,parallel,8
7,5.344421,256,DFUF,parallel,8
7,5.164088,256,FFUF,parallel,8
7,4.439431,256,DFUD,parallel,8
7,4.491122,256,FFUD,parallel,8
8,4.185884,256,DFUF,parallel,8
8,4.991911,256,FFUF,parallel,8
8,4.692170,256,DFUD,parallel,8
8,4.987335,256,FFUD,parallel,8
9,4.725527,256,DFUF,parallel,8
9,4.769277,256,FFUF,parallel,8
9,4.167367,256,DFUD,parallel,8
9,4.927923,256,FFUD,parallel,8
10,4.665791,256,DFUF,parallel,8
10,4.933712,256,FFUF,parallel,8
10,3.962407,256,DFUD,parallel,8
10,4.888848,256,FFUD,parallel,8
11,4.699668,256,DFUF,parallel,8
11,4.352720,256,FFUF,parallel,8
11,4.340973,256,DFUD,parallel,8
11,5.939581,256,FFUD,parallel,8
12,5.116448,256,DFUF,parallel,8
12,5.047293,256,FFUF,parallel,8
12,4.881721,256,DFUD,parallel,8
12,5.416219,256,FFUD,parallel,8
13,3.994034,256,DFUF,parallel,8
13,4.394399,256,FFUF,parallel,8
13,4.413749,256,DFUD,parallel,8
13,4.657487,256,FFUD,parallel,8
14,4.214686,256,DFUF,parallel,8
14,4.731538,256,FFUF,parallel,8
14,4.057584,256,DFUD,parallel,8
14,4.632224,256,FFUD,parallel,8
15,4.589790,256,DFUF,parallel,8
15,4.437807,256,FFUF,parallel,8
15,4.441121,256,DFUD,parallel,8
15,5.112147,256,FFUD,parallel,8
16,5.231490,256,DFUF,parallel,8
16,5.200237,256,FFUF,parallel,8
16,4.601667,256,DFUD,parallel,8
16,4.981226,256,FFUD,parallel,8
17,5.195603,256,DFUF,parallel,8
17,5.125267,256,FFUF,parallel,8
17,5.419642,256,DFUD,parallel,8
17,5.724064,256,FFUD,parallel,8
18,5.140146,256,DFUF,parallel,8
18,4.113503,256,FFUF,parallel,8
18,4.149303,256,DFUD,parallel,8
18,4.848458,256,FFUD,parallel,8
19,4.807426,256,DFUF,parallel,8
19,5.153638,256,FFUF,parallel,8
19,5.120182,256,DFUD,parallel,8
19,4.621483,256,FFUD,parallel,8
20,4.651944,256,DFUF,parallel,8
20,4.816242,256,FFUF,parallel,8
20,4.125572,256,DFUD,parallel,8
20,4.374474,256,FFUD,parallel,8
21,4.171995,256,DFUF,parallel,8
21,4.295093,256,FFUF,parallel,8
21,4.173362,256,DFUD,parallel,8
21,4.855573,256,FFUD,parallel,8
22,4.563340,256,DFUF,parallel,8
22,4.441848,256,FFUF,parallel,8
22,4.441426,256,DFUD,parallel,8
22,4.810488,256,FFUD,parallel,8
23,4.089968,256,DFUF,parallel,8
23,4.671149,256,FFUF,parallel,8
23,4.492089,256,DFUD,parallel,8
23,5.709923,256,FFUD,parallel,8
24,5.456513,256,DFUF,parallel,8
24,5.161877,256,FFUF,parallel,8
24,4.108724,256,DFUD,parallel,8
24,5.735190,256,FFUD,parallel,8
25,5.077748,256,DFUF,parallel,8
25,5.206630,256,FFUF,parallel,8
25,4.023149,256,DFUD,parallel,8
25,4.345355,256,FFUD,parallel,8
26,4.110575,256,DFUF,parallel,8
