run,time,filter_size,type,exec_type,threads
0,1.180053,8,datafirst,serial,1
0,1.452365,8,filterfirst,serial,1
0,0.167609,8,datafirst,parallel,12
0,0.222404,8,filterfirst,parallel,12
0,2.232921,16,datafirst,serial,1
0,2.609348,16,filterfirst,serial,1
0,0.345419,16,datafirst,parallel,12
0,0.477384,16,filterfirst,parallel,12
0,4.366558,32,datafirst,serial,1
0,5.412014,32,filterfirst,serial,1
0,0.813927,32,datafirst,parallel,12
0,0.904717,32,filterfirst,parallel,12
0,10.674801,64,datafirst,serial,1
0,11.199631,64,filterfirst,serial,1
0,1.629719,64,datafirst,parallel,12
0,1.707072,64,filterfirst,parallel,12
0,19.991030,128,datafirst,serial,1
0,21.010546,128,filterfirst,serial,1
0,2.856304,128,datafirst,parallel,12
0,3.039976,128,filterfirst,parallel,12
0,38.254616,256,datafirst,serial,1
0,44.680386,256,filterfirst,serial,1
0,5.770017,256,datafirst,parallel,12
0,5.894118,256,filterfirst,parallel,12
1,1.062698,8,datafirst,serial,1
1,1.275657,8,filterfirst,serial,1
1,0.175276,8,datafirst,parallel,12
1,0.227073,8,filterfirst,parallel,12
1,2.346183,16,datafirst,serial,1
1,2.834640,16,filterfirst,serial,1
1,0.358620,16,datafirst,parallel,12
1,0.457732,16,filterfirst,parallel,12
1,4.481014,32,datafirst,serial,1
1,5.161205,32,filterfirst,serial,1
1,0.702112,32,datafirst,parallel,12
1,0.775697,32,filterfirst,parallel,12
1,9.980663,64,datafirst,serial,1
1,11.655387,64,filterfirst,serial,1
1,1.456529,64,datafirst,parallel,12
1,1.555433,64,filterfirst,parallel,12
1,18.474701,128,datafirst,serial,1
1,20.165234,128,filterfirst,serial,1
1,2.996684,128,datafirst,parallel,12
1,3.348672,128,filterfirst,parallel,12
1,37.604687,256,datafirst,serial,1
1,40.747066,256,filterfirst,serial,1
1,5.479804,256,datafirst,parallel,12
1,5.877452,256,filterfirst,parallel,12
2,1.021295,8,datafirst,serial,1
2,1.244531,8,filterfirst,serial,1
2,0.172401,8,datafirst,parallel,12
2,0.211826,8,filterfirst,parallel,12
2,2.086761,16,datafirst,serial,1
2,2.873865,16,filterfirst,serial,1
2,0.528160,16,datafirst,parallel,12
2,0.559251,16,filterfirst,parallel,12
2,4.458978,32,datafirst,serial,1
2,5.162885,32,filterfirst,serial,1
2,0.705178,32,datafirst,parallel,12
2,0.897991,32,filterfirst,parallel,12
2,10.161348,64,datafirst,serial,1
2,11.168408,64,filterfirst,serial,1
2,1.417676,64,datafirst,parallel,12
2,1.561168,64,filterfirst,parallel,12
2,19.839499,128,datafirst,serial,1
2,20.408035,128,filterfirst,serial,1
2,2.764047,128,datafirst,parallel,12
2,2.911696,128,filterfirst,parallel,12
2,36.254288,256,datafirst,serial,1
2,39.661556,256,filterfirst,serial,1
2,5.387090,256,datafirst,parallel,12
2,5.829364,256,filterfirst,parallel,12
3,1.050996,8,datafirst,serial,1
3,1.284777,8,filterfirst,serial,1
3,0.168297,8,datafirst,parallel,12
3,0.223392,8,filterfirst,parallel,12
3,2.119467,16,datafirst,serial,1
3,2.516163,16,filterfirst,serial,1
3,0.336253,16,datafirst,parallel,12
3,0.447917,16,filterfirst,parallel,12
3,4.283894,32,datafirst,serial,1
3,5.026014,32,filterfirst,serial,1
3,0.674277,32,datafirst,parallel,12
3,0.758855,32,filterfirst,parallel,12
3,9.187300,64,datafirst,serial,1
3,9.971600,64,filterfirst,serial,1
3,1.419381,64,datafirst,parallel,12
3,1.497998,64,filterfirst,parallel,12
3,18.026690,128,datafirst,serial,1
3,19.866385,128,filterfirst,serial,1
3,2.733432,128,datafirst,parallel,12
3,3.184691,128,filterfirst,parallel,12
