run,time,filter_size,type,exec_type,threads
3,35.522034,256,datafirst,serial,1
3,41.509869,256,filterfirst,serial,1
3,5.397884,256,datafirst,parallel,12
3,5.862177,256,filterfirst,parallel,12
4,1.078740,8,datafirst,serial,1
4,1.300600,8,filterfirst,serial,1
4,0.166447,8,datafirst,parallel,12
4,0.217716,8,filterfirst,parallel,12
4,2.135637,16,datafirst,serial,1
4,2.532748,16,filterfirst,serial,1
4,0.333838,16,datafirst,parallel,12
4,0.449519,16,filterfirst,parallel,12
4,4.271959,32,datafirst,serial,1
4,5.015317,32,filterfirst,serial,1
4,0.659958,32,datafirst,parallel,12
4,0.752976,32,filterfirst,parallel,12
4,9.298151,64,datafirst,serial,1
4,10.027718,64,filterfirst,serial,1
4,1.401989,64,datafirst,parallel,12
4,1.537752,64,filterfirst,parallel,12
4,18.076836,128,datafirst,serial,1
4,19.921476,128,filterfirst,serial,1
4,2.721997,128,datafirst,parallel,12
4,2.886881,128,filterfirst,parallel,12
4,35.524750,256,datafirst,serial,1
4,39.754978,256,filterfirst,serial,1
4,5.448536,256,datafirst,parallel,12
4,5.912262,256,filterfirst,parallel,12
5,1.050803,8,datafirst,serial,1
5,1.266738,8,filterfirst,serial,1
5,0.178190,8,datafirst,parallel,12
5,0.224152,8,filterfirst,parallel,12
5,2.087367,16,datafirst,serial,1
5,2.537421,16,filterfirst,serial,1
5,0.340024,16,datafirst,parallel,12
5,0.458907,16,filterfirst,parallel,12
5,4.286471,32,datafirst,serial,1
5,5.033856,32,filterfirst,serial,1
5,0.683146,32,datafirst,parallel,12
5,0.741326,32,filterfirst,parallel,12
5,9.276135,64,datafirst,serial,1
5,10.242807,64,filterfirst,serial,1
5,1.424488,64,datafirst,parallel,12
5,1.538116,64,filterfirst,parallel,12
5,18.000828,128,datafirst,serial,1
5,19.898602,128,filterfirst,serial,1
5,2.755862,128,datafirst,parallel,12
5,3.284668,128,filterfirst,parallel,12
5,35.656952,256,datafirst,serial,1
5,39.997478,256,filterfirst,serial,1
5,5.384446,256,datafirst,parallel,12
5,5.824889,256,filterfirst,parallel,12
6,1.060683,8,datafirst,serial,1
6,1.288543,8,filterfirst,serial,1
6,0.172732,8,datafirst,parallel,12
6,0.226559,8,filterfirst,parallel,12
6,2.084045,16,datafirst,serial,1
6,2.536772,16,filterfirst,serial,1
6,0.338603,16,datafirst,parallel,12
6,0.465202,16,filterfirst,parallel,12
6,4.313214,32,datafirst,serial,1
6,5.042411,32,filterfirst,serial,1
6,0.668307,32,datafirst,parallel,12
6,0.772802,32,filterfirst,parallel,12
6,9.199812,64,datafirst,serial,1
6,10.018097,64,filterfirst,serial,1
6,1.509427,64,datafirst,parallel,12
6,1.504638,64,filterfirst,parallel,12
6,18.016537,128,datafirst,serial,1
6,19.809599,128,filterfirst,serial,1
6,2.808733,128,datafirst,parallel,12
6,2.839090,128,filterfirst,parallel,12
6,35.589134,256,datafirst,serial,1
6,39.812244,256,filterfirst,serial,1
6,5.499453,256,datafirst,parallel,12
6,5.876806,256,filterfirst,parallel,12
7,1.025209,8,datafirst,serial,1
7,1.293919,8,filterfirst,serial,1
7,0.168873,8,datafirst,parallel,12
7,0.217268,8,filterfirst,parallel,12
7,2.094216,16,datafirst,serial,1
7,2.527267,16,filterfirst,serial,1
7,0.337436,16,datafirst,parallel,12
7,0.453312,16,filterfirst,parallel,12
7,4.281432,32,datafirst,serial,1
7,4.994075,32,filterfirst,serial,1
7,0.669711,32,datafirst,parallel,12
7,0.746023,32,filterfirst,parallel,12
7,9.219155,64,datafirst,serial,1
7,9.936979,64,filterfirst,serial,1
7,1.401369,64,datafirst,parallel,12
7,1.495114,64,filterfirst,parallel,12
7,18.065008,128,datafirst,serial,1
7,20.043365,128,filterfirst,serial,1
7,2.876864,128,datafirst,parallel,12
7,2.824493,128,filterfirst,parallel,12
7,36.152538,256,datafirst,serial,1
7,39.782722,256,filterfirst,serial,1
7,5.440862,256,datafirst,parallel,12
7,5.898601,256,filterfirst,parallel,12
8,1.017595,8,datafirst,serial,1
8,1.289812,8,filterfirst,serial,1
8,0.166830,8,datafirst,parallel,12
8,0.219975,8,filterfirst,parallel,12
8,2.102597,16,datafirst,serial,1
8,2.576611,16,filterfirst,serial,1
8,0.332013,16,datafirst,parallel,12
8,0.452434,16,filterfirst,parallel,12
8,4.355964,32,datafirst,serial,1
8,5.100905,32,filterfirst,serial,1
8,0.666008,32,datafirst,parallel,12
8,0.746221,32,filterfirst,parallel,12
8,9.207848,64,datafirst,serial,1
8,10.011371,64,filterfirst,serial,1
8,1.396666,64,datafirst,parallel,12
8,1.493537,64,filterfirst,parallel,12
8,18.113737,128,datafirst,serial,1
8,19.906199,128,filterfirst,serial,1
8,2.755621,128,datafirst,parallel,12
8,2.792279,128,filterfirst,parallel,12
8,35.750008,256,datafirst,serial,1
8,39.784321,256,filterfirst,serial,1
8,5.429560,256,datafirst,parallel,12
8,6.141578,256,filterfirst,parallel,12
9,1.051055,8,datafirst,serial,1
9,1.258103,8,filterfirst,serial,1
9,0.171384,8,datafirst,parallel,12
9,0.230597,8,filterfirst,parallel,12
9,2.121287,16,datafirst,serial,1
9,2.551424,16,filterfirst,serial,1
9,0.339322,16,datafirst,parallel,12
9,0.441398,16,filterfirst,parallel,12
9,4.492960,32,datafirst,serial,1
9,5.361214,32,filterfirst,serial,1
9,0.661805,32,datafirst,parallel,12
9,0.760300,32,filterfirst,parallel,12
9,9.160871,64,datafirst,serial,1
9,10.055252,64,filterfirst,serial,1
9,1.459002,64,datafirst,parallel,12
9,1.495957,64,filterfirst,parallel,12
9,18.090984,128,datafirst,serial,1
9,19.855825,128,filterfirst,serial,1
9,2.920370,128,datafirst,parallel,12
9,2.813873,128,filterfirst,parallel,12
9,35.601788,256,datafirst,serial,1
9,39.720547,256,filterfirst,serial,1
9,5.449524,256,datafirst,parallel,12
9,6.037853,256,filterfirst,parallel,12
