run,time,filter_size,type,exec_type,threads
5,12.841194,256,filterfirst,parallel,4
5,6.899912,256,datafirst,parallel,8
5,7.475707,256,filterfirst,parallel,8
5,5.707429,256,datafirst,parallel,12
5,6.060524,256,filterfirst,parallel,12
5,6.080139,256,datafirst,parallel,16
5,6.728290,256,filterfirst,parallel,16
5,6.208667,256,datafirst,parallel,20
5,7.570483,256,filterfirst,parallel,20
6,35.421310,256,datafirst,parallel,1
6,40.490814,256,filterfirst,parallel,1
6,19.882599,256,datafirst,parallel,2
6,22.838366,256,filterfirst,parallel,2
6,11.661936,256,datafirst,parallel,4
6,12.767968,256,filterfirst,parallel,4
6,6.922014,256,datafirst,parallel,8
6,7.521621,256,filterfirst,parallel,8
6,5.801045,256,datafirst,parallel,12
6,6.772479,256,filterfirst,parallel,12
6,6.679336,256,datafirst,parallel,16
6,6.741537,256,filterfirst,parallel,16
6,6.021985,256,datafirst,parallel,20
6,6.522304,256,filterfirst,parallel,20
7,35.510403,256,datafirst,parallel,1
7,40.294628,256,filterfirst,parallel,1
7,19.838409,256,datafirst,parallel,2
7,22.023289,256,filterfirst,parallel,2
7,11.095872,256,datafirst,parallel,4
7,12.309213,256,filterfirst,parallel,4
7,6.657814,256,datafirst,parallel,8
7,7.409626,256,filterfirst,parallel,8
7,5.850681,256,datafirst,parallel,12
7,6.425691,256,filterfirst,parallel,12
7,6.106482,256,datafirst,parallel,16
7,6.516995,256,filterfirst,parallel,16
7,5.998067,256,datafirst,parallel,20
7,6.410783,256,filterfirst,parallel,20
8,35.444126,256,datafirst,parallel,1
8,40.460011,256,filterfirst,parallel,1
8,20.158569,256,datafirst,parallel,2
8,22.356466,256,filterfirst,parallel,2
8,11.541842,256,datafirst,parallel,4
8,12.878226,256,filterfirst,parallel,4
8,6.929914,256,datafirst,parallel,8
8,7.429210,256,filterfirst,parallel,8
8,5.482262,256,datafirst,parallel,12
8,6.050313,256,filterfirst,parallel,12
8,6.156899,256,datafirst,parallel,16
8,6.628840,256,filterfirst,parallel,16
8,5.959354,256,datafirst,parallel,20
8,6.728327,256,filterfirst,parallel,20
9,35.444832,256,datafirst,parallel,1
9,40.223320,256,filterfirst,parallel,1
9,19.820217,256,datafirst,parallel,2
9,22.367496,256,filterfirst,parallel,2
9,11.170859,256,datafirst,parallel,4
9,12.981851,256,filterfirst,parallel,4
9,6.923548,256,datafirst,parallel,8
9,7.277059,256,filterfirst,parallel,8
9,5.462615,256,datafirst,parallel,12
9,6.050784,256,filterfirst,parallel,12
9,6.744587,256,datafirst,parallel,16
9,6.816010,256,filterfirst,parallel,16
9,6.202744,256,datafirst,parallel,20
9,7.642248,256,filterfirst,parallel,20
