run,time,filter_size,type,exec_type,threads
0,37.552284,256,datafirst,parallel,1
0,42.317711,256,filterfirst,parallel,1
0,20.170582,256,datafirst,parallel,2
0,22.467802,256,filterfirst,parallel,2
0,11.626720,256,datafirst,parallel,4
0,12.744647,256,filterfirst,parallel,4
0,6.825981,256,datafirst,parallel,8
0,7.539597,256,filterfirst,parallel,8
0,5.644967,256,datafirst,parallel,12
0,6.178139,256,filterfirst,parallel,12
0,6.000153,256,datafirst,parallel,16
0,6.274107,256,filterfirst,parallel,16
0,6.315943,256,datafirst,parallel,20
0,6.708068,256,filterfirst,parallel,20
1,35.690735,256,datafirst,parallel,1
1,40.525238,256,filterfirst,parallel,1
1,20.463892,256,datafirst,parallel,2
1,22.472788,256,filterfirst,parallel,2
1,11.989508,256,datafirst,parallel,4
1,12.921658,256,filterfirst,parallel,4
1,6.943842,256,datafirst,parallel,8
1,7.522164,256,filterfirst,parallel,8
1,5.688081,256,datafirst,parallel,12
1,6.306786,256,filterfirst,parallel,12
1,6.075607,256,datafirst,parallel,16
1,6.508291,256,filterfirst,parallel,16
1,6.098750,256,datafirst,parallel,20
1,6.734646,256,filterfirst,parallel,20
2,36.161888,256,datafirst,parallel,1
2,40.415501,256,filterfirst,parallel,1
2,19.708954,256,datafirst,parallel,2
2,21.957588,256,filterfirst,parallel,2
2,11.422076,256,datafirst,parallel,4
2,12.689082,256,filterfirst,parallel,4
2,6.882642,256,datafirst,parallel,8
2,7.541215,256,filterfirst,parallel,8
2,5.802943,256,datafirst,parallel,12
2,6.451665,256,filterfirst,parallel,12
2,6.161041,256,datafirst,parallel,16
2,7.501102,256,filterfirst,parallel,16
2,6.056565,256,datafirst,parallel,20
2,6.710511,256,filterfirst,parallel,20
3,35.697613,256,datafirst,parallel,1
3,40.711315,256,filterfirst,parallel,1
3,19.220148,256,datafirst,parallel,2
3,21.970276,256,filterfirst,parallel,2
3,11.345394,256,datafirst,parallel,4
3,12.465224,256,filterfirst,parallel,4
3,6.947575,256,datafirst,parallel,8
3,7.719813,256,filterfirst,parallel,8
3,6.814644,256,datafirst,parallel,12
3,6.276423,256,filterfirst,parallel,12
3,5.917206,256,datafirst,parallel,16
3,6.498692,256,filterfirst,parallel,16
3,6.101839,256,datafirst,parallel,20
3,6.723278,256,filterfirst,parallel,20
4,35.813602,256,datafirst,parallel,1
4,40.677814,256,filterfirst,parallel,1
4,19.885967,256,datafirst,parallel,2
4,22.206123,256,filterfirst,parallel,2
4,11.539874,256,datafirst,parallel,4
4,12.607623,256,filterfirst,parallel,4
4,7.172488,256,datafirst,parallel,8
4,7.644131,256,filterfirst,parallel,8
4,5.745899,256,datafirst,parallel,12
4,6.164267,256,filterfirst,parallel,12
4,6.040117,256,datafirst,parallel,16
4,6.401194,256,filterfirst,parallel,16
4,6.127583,256,datafirst,parallel,20
4,6.788133,256,filterfirst,parallel,20
5,36.211002,256,datafirst,parallel,1
5,40.397919,256,filterfirst,parallel,1
5,20.143721,256,datafirst,parallel,2
5,22.258598,256,filterfirst,parallel,2
5,11.294783,256,datafirst,parallel,4
