run,time,filter_size,type,exec_type,threads
0,1.204174,8,datafirst,serial,1
0,1.434980,8,filterfirst,serial,1
0,0.165639,8,datafirst,parallel,12
0,0.231489,8,filterfirst,parallel,12
0,2.166667,16,datafirst,serial,1
0,2.569019,16,filterfirst,serial,1
0,0.331304,16,datafirst,parallel,12
0,0.440045,16,filterfirst,parallel,12
0,4.367055,32,datafirst,serial,1
0,5.009373,32,filterfirst,serial,1
0,0.720718,32,datafirst,parallel,12
0,0.762584,32,filterfirst,parallel,12
0,9.776893,64,datafirst,serial,1
0,10.979385,64,filterfirst,serial,1
0,1.452081,64,datafirst,parallel,12
0,1.653155,64,filterfirst,parallel,12
0,19.144001,128,datafirst,serial,1
0,21.087189,128,filterfirst,serial,1
0,2.915296,128,datafirst,parallel,12
0,3.383682,128,filterfirst,parallel,12
0,39.026268,256,datafirst,serial,1
0,41.587509,256,filterfirst,serial,1
0,5.332623,256,datafirst,parallel,12
0,5.775758,256,filterfirst,parallel,12
1,1.021936,8,datafirst,serial,1
1,1.268831,8,filterfirst,serial,1
1,0.170230,8,datafirst,parallel,12
1,0.226532,8,filterfirst,parallel,12
1,2.085330,16,datafirst,serial,1
1,2.537147,16,filterfirst,serial,1
1,0.342720,16,datafirst,parallel,12
1,0.454714,16,filterfirst,parallel,12
1,4.274339,32,datafirst,serial,1
1,5.001426,32,filterfirst,serial,1
1,0.664380,32,datafirst,parallel,12
1,0.786947,32,filterfirst,parallel,12
1,9.324326,64,datafirst,serial,1
1,10.162332,64,filterfirst,serial,1
1,1.396742,64,datafirst,parallel,12
1,1.529516,64,filterfirst,parallel,12
1,18.320892,128,datafirst,serial,1
1,20.030159,128,filterfirst,serial,1
1,2.718036,128,datafirst,parallel,12
1,3.026241,128,filterfirst,parallel,12
1,35.731556,256,datafirst,serial,1
1,43.173759,256,filterfirst,serial,1
1,5.532252,256,datafirst,parallel,12
1,6.259279,256,filterfirst,parallel,12
2,1.124961,8,datafirst,serial,1
2,1.349305,8,filterfirst,serial,1
2,0.188898,8,datafirst,parallel,12
2,0.229923,8,filterfirst,parallel,12
2,2.314012,16,datafirst,serial,1
2,2.848219,16,filterfirst,serial,1
2,0.338230,16,datafirst,parallel,12
2,0.500193,16,filterfirst,parallel,12
2,4.622270,32,datafirst,serial,1
2,5.235229,32,filterfirst,serial,1
2,0.762772,32,datafirst,parallel,12
2,0.805632,32,filterfirst,parallel,12
2,10.541300,64,datafirst,serial,1
2,11.179536,64,filterfirst,serial,1
2,1.479591,64,datafirst,parallel,12
2,1.572699,64,filterfirst,parallel,12
2,19.755945,128,datafirst,serial,1
2,22.060686,128,filterfirst,serial,1
2,2.734055,128,datafirst,parallel,12
2,2.988392,128,filterfirst,parallel,12
2,37.855820,256,datafirst,serial,1
2,41.613518,256,filterfirst,serial,1
2,5.574748,256,datafirst,parallel,12
2,5.931199,256,filterfirst,parallel,12
3,1.043804,8,datafirst,serial,1
3,1.341381,8,filterfirst,serial,1
3,0.168600,8,datafirst,parallel,12
3,0.215418,8,filterfirst,parallel,12
3,2.139655,16,datafirst,serial,1
3,2.682758,16,filterfirst,serial,1
3,0.334897,16,datafirst,parallel,12
3,0.459449,16,filterfirst,parallel,12
3,4.478389,32,datafirst,serial,1
3,5.562779,32,filterfirst,serial,1
3,0.900767,32,datafirst,parallel,12
3,0.987074,32,filterfirst,parallel,12
3,10.757447,64,datafirst,serial,1
3,11.869871,64,filterfirst,serial,1
