run,time,filter_size,type,exec_type,threads
3,2.034522,64,datafirst,parallel,12
3,2.141790,64,filterfirst,parallel,12
3,21.157398,128,datafirst,serial,1
3,22.654102,128,filterfirst,serial,1
3,3.397928,128,datafirst,parallel,12
3,4.029282,128,filterfirst,parallel,12
3,38.389042,256,datafirst,serial,1
3,42.013592,256,filterfirst,serial,1
3,5.543499,256,datafirst,parallel,12
3,6.224290,256,filterfirst,parallel,12
4,1.073764,8,datafirst,serial,1
4,1.387207,8,filterfirst,serial,1
4,0.171738,8,datafirst,parallel,12
4,0.226306,8,filterfirst,parallel,12
4,2.124280,16,datafirst,serial,1
4,2.642095,16,filterfirst,serial,1
4,0.356537,16,datafirst,parallel,12
4,0.472278,16,filterfirst,parallel,12
4,4.867412,32,datafirst,serial,1
4,5.719270,32,filterfirst,serial,1
4,0.706920,32,datafirst,parallel,12
4,0.760363,32,filterfirst,parallel,12
4,9.442959,64,datafirst,serial,1
4,10.006822,64,filterfirst,serial,1
4,1.421226,64,datafirst,parallel,12
4,1.569705,64,filterfirst,parallel,12
4,18.170504,128,datafirst,serial,1
4,20.629557,128,filterfirst,serial,1
4,3.399409,128,datafirst,parallel,12
4,3.143872,128,filterfirst,parallel,12
4,36.235199,256,datafirst,serial,1
4,42.707470,256,filterfirst,serial,1
4,5.812301,256,datafirst,parallel,12
4,6.386685,256,filterfirst,parallel,12
5,1.189514,8,datafirst,serial,1
5,1.453382,8,filterfirst,serial,1
5,0.198256,8,datafirst,parallel,12
5,0.244055,8,filterfirst,parallel,12
5,2.395137,16,datafirst,serial,1
5,2.873965,16,filterfirst,serial,1
5,0.337863,16,datafirst,parallel,12
5,0.508893,16,filterfirst,parallel,12
5,4.741921,32,datafirst,serial,1
5,5.631682,32,filterfirst,serial,1
5,0.692509,32,datafirst,parallel,12
5,0.822388,32,filterfirst,parallel,12
5,10.189095,64,datafirst,serial,1
5,10.857199,64,filterfirst,serial,1
5,1.569120,64,datafirst,parallel,12
5,1.666949,64,filterfirst,parallel,12
5,19.849836,128,datafirst,serial,1
5,20.218594,128,filterfirst,serial,1
5,2.757131,128,datafirst,parallel,12
5,2.889317,128,filterfirst,parallel,12
5,37.644020,256,datafirst,serial,1
5,44.608105,256,filterfirst,serial,1
5,5.581118,256,datafirst,parallel,12
5,6.034471,256,filterfirst,parallel,12
6,1.057538,8,datafirst,serial,1
6,1.283154,8,filterfirst,serial,1
6,0.183746,8,datafirst,parallel,12
6,0.234821,8,filterfirst,parallel,12
6,2.241150,16,datafirst,serial,1
6,2.574409,16,filterfirst,serial,1
6,0.326101,16,datafirst,parallel,12
6,0.479643,16,filterfirst,parallel,12
6,4.414117,32,datafirst,serial,1
6,5.260016,32,filterfirst,serial,1
6,0.733293,32,datafirst,parallel,12
6,0.792081,32,filterfirst,parallel,12
6,9.637595,64,datafirst,serial,1
6,10.776100,64,filterfirst,serial,1
6,1.533602,64,datafirst,parallel,12
6,1.643405,64,filterfirst,parallel,12
6,19.850784,128,datafirst,serial,1
6,20.686184,128,filterfirst,serial,1
6,2.916250,128,datafirst,parallel,12
6,2.958223,128,filterfirst,parallel,12
6,38.607201,256,datafirst,serial,1
6,43.250237,256,filterfirst,serial,1
6,5.785517,256,datafirst,parallel,12
6,5.944019,256,filterfirst,parallel,12
7,1.070081,8,datafirst,serial,1
7,1.374038,8,filterfirst,serial,1
7,0.167191,8,datafirst,parallel,12
7,0.221422,8,filterfirst,parallel,12
7,2.168632,16,datafirst,serial,1
7,2.647088,16,filterfirst,serial,1
7,0.414484,16,datafirst,parallel,12
7,0.446925,16,filterfirst,parallel,12
7,4.704012,32,datafirst,serial,1
7,5.203035,32,filterfirst,serial,1
7,0.691009,32,datafirst,parallel,12
7,0.769156,32,filterfirst,parallel,12
7,9.810704,64,datafirst,serial,1
7,10.465846,64,filterfirst,serial,1
7,1.557885,64,datafirst,parallel,12
7,1.691879,64,filterfirst,parallel,12
7,19.588017,128,datafirst,serial,1
7,20.590166,128,filterfirst,serial,1
7,2.933372,128,datafirst,parallel,12
7,3.192486,128,filterfirst,parallel,12
7,36.366653,256,datafirst,serial,1
7,42.273628,256,filterfirst,serial,1
7,6.502417,256,datafirst,parallel,12
7,6.931818,256,filterfirst,parallel,12
8,1.226729,8,datafirst,serial,1
8,1.437622,8,filterfirst,serial,1
8,0.225959,8,datafirst,parallel,12
8,0.237940,8,filterfirst,parallel,12
8,2.385623,16,datafirst,serial,1
8,2.947776,16,filterfirst,serial,1
8,0.388800,16,datafirst,parallel,12
8,0.531043,16,filterfirst,parallel,12
8,4.960729,32,datafirst,serial,1
8,5.622051,32,filterfirst,serial,1
8,0.739410,32,datafirst,parallel,12
8,0.766600,32,filterfirst,parallel,12
8,10.540024,64,datafirst,serial,1
8,11.125076,64,filterfirst,serial,1
8,1.611154,64,datafirst,parallel,12
8,1.645055,64,filterfirst,parallel,12
8,19.594429,128,datafirst,serial,1
8,20.907284,128,filterfirst,serial,1
8,2.823231,128,datafirst,parallel,12
8,2.996266,128,filterfirst,parallel,12
8,39.583687,256,datafirst,serial,1
8,43.526909,256,filterfirst,serial,1
8,5.624565,256,datafirst,parallel,12
8,6.323536,256,filterfirst,parallel,12
9,1.134628,8,datafirst,serial,1
9,1.433029,8,filterfirst,serial,1
9,0.168111,8,datafirst,parallel,12
9,0.243075,8,filterfirst,parallel,12
9,2.363541,16,datafirst,serial,1
9,2.748460,16,filterfirst,serial,1
9,0.333688,16,datafirst,parallel,12
9,0.451968,16,filterfirst,parallel,12
9,4.419860,32,datafirst,serial,1
9,5.462261,32,filterfirst,serial,1
9,0.656948,32,datafirst,parallel,12
9,0.809613,32,filterfirst,parallel,12
9,10.058339,64,datafirst,serial,1
9,10.957345,64,filterfirst,serial,1
9,1.472005,64,datafirst,parallel,12
9,1.550812,64,filterfirst,parallel,12
9,18.005375,128,datafirst,serial,1
9,21.396032,128,filterfirst,serial,1
9,2.700966,128,datafirst,parallel,12
9,2.895438,128,filterfirst,parallel,12
9,37.668461,256,datafirst,serial,1
9,39.930485,256,filterfirst,serial,1
9,5.288399,256,datafirst,parallel,12
9,5.869386,256,filterfirst,parallel,12
